Book_ID,Original_Text
1,Robbertus de Beneht dixit quod demanium suum est Beneth quod tenet in capite a domino Rege quod est pheudum quinque militum et cum augmento obtulit undecim milites et duodecim servientes.
2,Francarius dixit quod tenet Bitrictum in capite a domino Rege quod est phedum quatuor militum et com augmento obtulit milites decem et servientes decem.
3,Guillelmus de Tot tenet in balio Sanctum Nicandrum quod tenet in capite a domino Rege quod sicut dixit Robbertus de Beneth et sicut est inventum in quaternionibus Curie est pheudum decem militum et cum augmento devet dare milites viginti.
4,Guido de Venusio dixit quod tenet in Casamassima in capite a domino rege quod est pheudum trium militum et com argmento obtulit milites septem et servientes octo. 
5,Goffridus Tortamanu dixit quod tenet in capite a domino Rege in Montorone pheudum duorum militum et cum argento obtulit milites quatuor et servientes quinque; et de Gallipoli quod tenet in Montanea devet inquirere Camerarius.
6,Rogerius Flamengus dixit quod tenet Palum in capite a domino Rege quod est feudum trium militum et com augmento obtulit milites sex et servientes sex
7,"Boamundus de Cagnano dixit quod tenet medietatem Nohe et est pheudum deorum militum, et in Botonto pheudum duorum militum et com augmento obtulit milites octo et servientes octo."
8,Judex Maior Botonti dixit tenet Lusitum quod est pheudum unius milites et dimidii et com augmento obtulit milites tres et servientes quatuor.
9,"Guillelmus de Tivilla dixit quod tenet medietatem Nohe quod est fuedum duorum militum, et in Botonto feudum unius militis et cum augmento obtulit milites sex et servientes -."
10,Hugo Frascenete tenet feudum unius militis et cum augmento obtulit milites duos. 
11,Riccardus de Carbonaria dixit quod tenet Carbonariam quod est feudum unius militis et cum augmento obtulit milites duos et servientes tres.
12,Petrus Filius Guillelmi Brisardi sicut dixit Robbertus de Beneth et Riccardus de Carbonaria tenet in Cillia feudum unius militis et cum augmento obtulit milites duos et servientes tres. 
13,Robbertus filius Guillelmi Gurgulionis dixit quod tenet Aquamvivam quod est feudum quinque militum et cum augmento obtulit milites duodecim et servientes triginta.
14,Robertus Sperlincus sicut inventum est in quaternionibus Curie tene Turritum quod est feudum quatuor militum; et Johe quam tenet de Principatu Tarenti et est feudum trium  ilitum et cum augmento obtulit milites quatuordecim et servientes quadraginta. In quaternione vero Tarenti scriptum est quod debet servire de ipso castello Johe cum augmento quod ei pertinet. 
15,Helias Sclavus tenet Balleczanum quod sicut inventum est in quaternionibus Curie est Feudum duorum militum et cum augmento obtulit milites quator et servientes decem. 
16,Guillelmus de Oria tenet Mallanum quod sicut inventum est in quaternionibus Curie est feudum unius militis et cum augmento obtulit milites duos.
17,Hugo de Altavilla dixit quod tenet in Botonto feudum duorum lilitum ec cum augmento obtulit milites iiij et servientes iiiv.
18,Rael de Petramala dixit quod tenet in Botonto feudum unius militis et quarti et cum augmento obtulit milites tres et servientes tres.
19,Filius Guillelmi de Auregnes dixit quod tenet in Botonto feudum unum militem et in Betecta feudum unum militem et cum augmento obtulit milites qutuor et servientes quatuor.
20,Peregrinus de Melfia dixit tenet in Botonto feudum unum militis et cum augmento obtulit milites duos et servientes tres.
21,Sicardus Lombardus sicut inventum est in quaternionibus Curie tenet in Botonto feudum unum militis et cum augmento obtulit milites duos et servientes tres.
22,Johannes Marchisius tenet in Botonto feudum unum militis quod fuit Guillelmi de Alto Johanne quod est unius militis et cum augmento obtulit milites dups et servientes tres. 
23,Raul de Genciano dixit quod tenet in Botonto feudum unum militis et cum augmento obtulit milities duos et servientes tres. 
24,Uxor Guillelmi Senescalci sicut dixit Robbertus de Beneth tenet in Botonto feudum unum militis et cum augmento obtuilit milites quatuor et servientes quinque.
25,"Filia Guillelmi Gallipoli sicut inventrum est in quaternionibus Curie tenet in Botonto feudum unum militis et cum augmento obtuilit milites duos et serviented duos, "
26,Raynaldus Tallaboscu dixit quod tenet in Botonto feudum unum milites et cum augmento obtulit milites duos et sevientes duos.
27,Crispinus de Gravina dixit quod tenet in Botonto feudum unum milites et cum augmento obtulit milites duos et servientes duos. 
28,Alexander Lepuier sicut inventum est in quaternionibus Curie tenet in Botonto feudum unum militis et dimidium et cum augmento obtulit milites tres.
29,Ferraczanus Venisij sicut inventum est in quaternionibus Curie tenet in Btonto feudum unum militis et cum augmento obtulit milites duos et servientes tres.
30,Guillelmus filius Symonis tenet terram que fuit Guillelmi Rapollensis quam tenuit in Botonto et est feudum unius militis et cum agumento obtulit milites duos.
31,"Robbertus Senescalcus sicut ipse dixit Robbertus de Beneth tenet in Botonto feudum unum milites et cum augmento obtulit militem unum; et de hoc quod tenet Barulo et precepimus ANgot de Archis ut illud inquireret, et ipse dixit quod est feudum dimidii militis et cum augmento obtulit militem unum. "
32,"Elias de Sclavo dixit quod tenet Campolum et sicut dixit est feudum dimidii et cum augmento obtulit militem unum,"
33,Guillelmus de Tivilla dixit teney Rutilianum cum Casali quod est de tenimento opsius Rutiliani quod sicut dixit est feudum septum militum et cum augmento obtulit milites quindecim et servientes viginti.
34,Guillelmus de Malerba dixit quod tenet in Caurato feudum unum militis et cum augmento obtulit milites duos et servientes tres.
35,Filii Henrici Loeregni sicut invenum est in quaternionbus Curie tenet in Caurato feudum unius miliris et cum augmento obtulit milites duos et servient tres.
36,Rahul de Alamagno sicut inventum est in quaternionibus Curio tenet in Caurato feudum unum militis et Barulo feudum unum militis et cum augmento obtulit milites quatuor et servientes quatuor.
37,Petrus de Principatu dixit wuod tenet in Caurato feudum unum militis et cum augmento obtulit molites duos et servientes duos.
38,Hugo Lugattu dixit quod in Barulo tenet feudum unum militis et cum augmento obtulit milites duos et servientes tres.
39,Umfridus Bonellus dixit quod tenet in Barulo fedum dimidii militis et cum augmento obtulit militem unum et servientes duos.
40,Galganus filius Jordani dixit quod tenet in Caurato fedum unum militis et cum augmento obtulit milites duos et serventes tres. 
41,Riccardus filius Jordani dixit quat tenet in Caurato feudum unum militis et cum augmento obtulit milites duos et servientes tres. 
42,"Guillelmus Cebronis sicut ipse dixit tenet in Caurato villanos octo, et in Barulo domum unam de quo obtulit cum augmento militem unum."
